dataset_name,record_id,source_id,review_status,reviewed_at,decision_reason
weather_transport_disruptions,wtdx_132208b410b1e6,src_6cd3338fb726,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
elderly_hailing_access,ehax_4d516159dfc31e,src_8f7a49e924e3,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
ride_hailing_promotion_rules,rhpx_deabb7c8d5e57d,src_76e8a43ea2ca,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_fa593ad58b9966,src_bf83f0872afd,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_1cdfe72f55662c,src_15f21833c2a1,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_d6205cad43c116,src_5bc2573dd5ff,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_c05b935c48138b,src_5bc2573dd5ff,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_f683977b5ecc0b,src_50bf3fbaee56,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_ef0c6793c7df59,src_3aa29610199f,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_bb69d9ceddc84a,src_2f29bfe750fc,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_b9d1f936e0c2d4,src_d10eae57a3ed,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_102fc16c4835ca,src_d10eae57a3ed,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_409b5676b37625,src_d10eae57a3ed,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_4518c6c6c85fdf,src_7a0d4f6cb15f,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_01bac86f6c2454,src_842b0a9c1fe7,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_00099f3d183512,src_38d232a908a2,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_8b9a27c97974d1,src_ce56b49aaced,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_71b7cce379857e,src_ce56b49aaced,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_9d728b93cd8532,src_ce56b49aaced,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_15a68e8ce51e45,src_ce56b49aaced,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_8046572fea3b41,src_ce56b49aaced,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_3aafe702bcd0d9,src_084ed6572a18,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_be9298449b66f5,src_a4c31feb3937,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_c09ad5a7e1e2ec,src_19dff27c7abf,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_776fef6ca5671d,src_7b2f42997070,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_2e48219de3f6f4,src_ae011e75e28b,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_60ec1bc09e0165,src_ae011e75e28b,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_8135778e5f1e8a,src_3f1aad7fb22c,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_31860d36101ce8,src_308265fb6632,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_d231e8b3a17780,src_67647b77df58,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_159c7bbb1ae623,src_63b8e9134f9a,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_0f1a05b0e9d8bb,src_b3792d1e1a4c,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_0c442673bcdb99,src_eabfdff5fb10,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_4e412a6ca0f5cf,src_63ae89f3a63f,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
subdistrict_elder_support_facts,sefx_147c19d69b0580,src_63ae89f3a63f,manually_verified,2026-07-12,official page title and evidence sentence directly support the retained core fact
