seed,agent_id,age_group,age_range,is_elder,digital_access,family_assistance,segment,smartphone_access,coupon_awareness_probability,coupon_claim_probability,independent_ride_hailing,home_zone,work_status,medical_need_level
47,1,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z3,regular_worker,
47,2,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z7,regular_worker,
47,3,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z2,regular_worker,
47,4,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z4,regular_worker,
47,5,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z4,regular_worker,
47,6,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z6,flexible_non_worker,
47,7,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z1,regular_worker,
47,8,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z6,regular_worker,
47,9,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z7,regular_worker,
47,10,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z5,regular_worker,
47,11,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z5,regular_worker,
47,12,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z5,regular_worker,
47,13,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z2,regular_worker,
47,14,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z6,regular_worker,
47,15,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z7,regular_worker,
47,16,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z2,regular_worker,
47,17,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z7,regular_worker,
47,18,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z6,regular_worker,
47,19,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z4,flexible_non_worker,
47,20,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z3,regular_worker,
47,21,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z7,regular_worker,
47,22,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z3,regular_worker,
47,23,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z7,flexible_non_worker,
47,24,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z6,regular_worker,
47,25,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z2,regular_worker,
47,26,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z4,regular_worker,
47,27,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z5,regular_worker,
47,28,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z6,regular_worker,
47,29,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z7,regular_worker,
47,30,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z2,regular_worker,
47,31,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z7,regular_worker,
47,32,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z5,regular_worker,
47,33,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z6,regular_worker,
47,34,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z7,regular_worker,
47,35,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z9,regular_worker,
47,36,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z8,regular_worker,
47,37,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z7,regular_worker,
47,38,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z2,regular_worker,
47,39,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z6,regular_worker,
47,40,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z8,flexible_non_worker,
47,41,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z3,regular_worker,
47,42,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z4,regular_worker,
47,43,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z1,regular_worker,
47,44,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z5,regular_worker,
47,45,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z7,regular_worker,
47,46,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z1,regular_worker,
47,47,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z3,regular_worker,
47,48,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z7,regular_worker,
47,49,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z3,regular_worker,
47,50,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z9,regular_worker,
47,51,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z2,regular_worker,
47,52,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z6,regular_worker,
47,53,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z2,regular_worker,
47,54,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z6,regular_worker,
47,55,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z1,regular_worker,
47,56,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z2,regular_worker,
47,57,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z2,regular_worker,
47,58,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z7,flexible_non_worker,
47,59,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z5,flexible_non_worker,
47,60,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z7,regular_worker,
47,61,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z5,regular_worker,
47,62,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z4,regular_worker,
47,63,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z2,regular_worker,
