attempt_id,session_id,scope,decision_id,agent_id,attempt_number,started_at_utc,elapsed_ms,success,http_status,error_type,retryable,model,api_base,request_characters,input_tokens,output_tokens,total_tokens,response_sha256,credential_persisted
74a375e3b7574953ad85804f32c421f2,01c1e0f07eb5414e,coupon,coupon-round1:1,1,1,2026-07-19T11:38:31.878392+00:00,1038.547,True,200,,False,deepseek-v4-flash,https://api.deepseek.com,645,253,31,284,bf990224b39ab2950231289d7bf836effde8661206a1165325467e33c0184e3f,False
33b609423205415c894ee862e7025add,01c1e0f07eb5414e,coupon,coupon-round1:2,2,1,2026-07-19T11:38:32.389332+00:00,1047.541,True,200,,False,deepseek-v4-flash,https://api.deepseek.com,645,253,34,287,5fed538ae1ef41239b7039ee3f1cd09e28c7e353aa4671db61305b9b95d86526,False
39cdb7075bf4498c8abdcc491fe0f8fc,01c1e0f07eb5414e,coupon,coupon-round1:3,3,1,2026-07-19T11:38:32.884322+00:00,1415.783,True,200,,False,deepseek-v4-flash,https://api.deepseek.com,645,253,33,286,977c8dd729b791ac8d5e2b9a58be551fc2ae0aa1af56ccddb21c55543341813e,False
96af5982a9db487c91b87fa9c2f2be40,01c1e0f07eb5414e,coupon,coupon-round1:7,7,1,2026-07-19T11:38:33.387359+00:00,1067.684,True,200,,False,deepseek-v4-flash,https://api.deepseek.com,645,253,34,287,9b348f55c2b9ea7b2695aac025a9dcc04e41fb54bdbebe3cfdf0ac22a70839cf,False
f7b49e41a52a4d7b96b74ff85be21ff8,01c1e0f07eb5414e,coupon,coupon-round1:8,8,1,2026-07-19T11:38:33.883378+00:00,961.001,True,200,,False,deepseek-v4-flash,https://api.deepseek.com,645,253,35,288,5f31519e61fdea93f6bd98d10745c5498e9a2222b28875412e9b7115881c7ad6,False
1830a8edc184426e8cb077dce26ce212,01c1e0f07eb5414e,coupon,coupon-round1:9,9,1,2026-07-19T11:38:34.385791+00:00,1111.102,True,200,,False,deepseek-v4-flash,https://api.deepseek.com,645,253,33,286,e2a9a1fa41f362c42e64334f1416eb8c46e128ad01a4f23bef34767d5d2dd206,False
dae555f862704b379d952591793e07c3,01c1e0f07eb5414e,coupon,coupon-round1:10,10,1,2026-07-19T11:38:34.893726+00:00,1169.024,True,200,,False,deepseek-v4-flash,https://api.deepseek.com,646,253,32,285,6639a717bfd9c37994c9f23859941835d55a7d3da5268f704d314f64a4ccea7e,False
0c6098fe159248909a33ce0cc6bd93ec,01c1e0f07eb5414e,coupon,coupon-round1:11,11,1,2026-07-19T11:38:35.381886+00:00,1151.642,True,200,,False,deepseek-v4-flash,https://api.deepseek.com,646,253,34,287,9b348f55c2b9ea7b2695aac025a9dcc04e41fb54bdbebe3cfdf0ac22a70839cf,False
51a590286ef2413ab3da5147f518597b,01c1e0f07eb5414e,coupon,coupon-round1:12,12,1,2026-07-19T11:38:35.892011+00:00,874.452,True,200,,False,deepseek-v4-flash,https://api.deepseek.com,646,253,38,291,f372f3f826c4e47cadafffdc9e8d14f8cf5b93df0f46cf5272be9877b73a28fd,False
f0fbe9be8a7c493cbb9fa4012e628ee3,01c1e0f07eb5414e,coupon,coupon-round1:13,13,1,2026-07-19T11:38:36.386280+00:00,1001.503,True,200,,False,deepseek-v4-flash,https://api.deepseek.com,646,253,31,284,bf990224b39ab2950231289d7bf836effde8661206a1165325467e33c0184e3f,False
72c22ed3c0d641e0a4fc8aa150caa390,01c1e0f07eb5414e,coupon,coupon-round1:14,14,1,2026-07-19T11:38:36.878671+00:00,919.653,True,200,,False,deepseek-v4-flash,https://api.deepseek.com,646,253,32,285,9bf4f8a9946bec796c7b91109e967d357f941a7f49d1d14327da59a9e8033612,False
9bdbb7d6683e48acb8484b9b4bb473fc,01c1e0f07eb5414e,coupon,coupon-round1:15,15,1,2026-07-19T11:38:37.380220+00:00,875.481,True,200,,False,deepseek-v4-flash,https://api.deepseek.com,646,253,34,287,9b348f55c2b9ea7b2695aac025a9dcc04e41fb54bdbebe3cfdf0ac22a70839cf,False
7f3d43180ae240d3ab7c6c44453f4259,01c1e0f07eb5414e,coupon,coupon-round1:16,16,1,2026-07-19T11:38:37.890746+00:00,992.141,True,200,,False,deepseek-v4-flash,https://api.deepseek.com,646,253,33,286,e2a9a1fa41f362c42e64334f1416eb8c46e128ad01a4f23bef34767d5d2dd206,False
79379112326846f3863989578c269a2a,01c1e0f07eb5414e,coupon,coupon-round1:17,17,1,2026-07-19T11:38:38.385564+00:00,1298.376,True,200,,False,deepseek-v4-flash,https://api.deepseek.com,646,253,38,291,49de41df0d4998382b84216424f1f3fba1e551d40588607a1d91edc9bec65627,False
cf8ddc3ce28c4b4384f69edc5aaeed9a,01c1e0f07eb5414e,coupon,coupon-round1:18,18,1,2026-07-19T11:38:38.881963+00:00,1069.225,True,200,,False,deepseek-v4-flash,https://api.deepseek.com,646,253,40,293,dfdbb6e5f664fa1ecb1cc987e182dfbdea10f18adb7d3106d567c2e77193c096,False
90bccb836880472bb7f1ab87799a18bf,01c1e0f07eb5414e,coupon,coupon-round1:21,21,1,2026-07-19T11:38:39.397591+00:00,974.477,True,200,,False,deepseek-v4-flash,https://api.deepseek.com,646,253,34,287,ec9a4f9b8b95c31d24b967ec6071ebed207d9ba689826e87f1c202af6e63ec9c,False
481600a0ac64413985c72324000e8eb4,01c1e0f07eb5414e,coupon,coupon-round1:23,23,1,2026-07-19T11:38:39.881304+00:00,947.654,True,200,,False,deepseek-v4-flash,https://api.deepseek.com,646,253,35,288,5f31519e61fdea93f6bd98d10745c5498e9a2222b28875412e9b7115881c7ad6,False
55c24951af0741e88ca34f72e0566bca,01c1e0f07eb5414e,coupon,coupon-round1:24,24,1,2026-07-19T11:38:40.387165+00:00,1198.481,True,200,,False,deepseek-v4-flash,https://api.deepseek.com,646,253,32,285,6639a717bfd9c37994c9f23859941835d55a7d3da5268f704d314f64a4ccea7e,False
ad5323bad84349b09fb365873eccc39a,01c1e0f07eb5414e,coupon,coupon-round1:27,27,1,2026-07-19T11:38:40.878679+00:00,983.209,True,200,,False,deepseek-v4-flash,https://api.deepseek.com,646,253,38,291,6df80dc28b3c31c04901ba433c9e1c3f747ea40fa632282ac6d5202505e8277b,False
7c0460b15787469aa41f116925b10f8a,01c1e0f07eb5414e,coupon,coupon-round1:28,28,1,2026-07-19T11:38:41.391430+00:00,830.243,True,200,,False,deepseek-v4-flash,https://api.deepseek.com,646,253,34,287,1d6cefbfd62b04ca19eb3abf10857f47ba688d71a190fea58db25fcb1941b62e,False
e0f547a4fa8045d2a8284f92f9afcac2,01c1e0f07eb5414e,coupon,coupon-round1:30,30,1,2026-07-19T11:38:41.890703+00:00,1038.749,True,200,,False,deepseek-v4-flash,https://api.deepseek.com,646,253,36,289,30f1e42731101a26b1c955fac639ec52336662f1266dd6a89f4174e904f51457,False
d132c9576607488a972676b1dc5c5741,01c1e0f07eb5414e,coupon,coupon-round1:31,31,1,2026-07-19T11:38:42.379768+00:00,880.217,True,200,,False,deepseek-v4-flash,https://api.deepseek.com,646,253,32,285,6639a717bfd9c37994c9f23859941835d55a7d3da5268f704d314f64a4ccea7e,False
cb022a33b5a446ea8d50e4e7f6b5beff,01c1e0f07eb5414e,coupon,coupon-round1:32,32,1,2026-07-19T11:38:42.887199+00:00,1100.232,True,200,,False,deepseek-v4-flash,https://api.deepseek.com,646,253,35,288,bb835d4f00249b5db929de4018f4fc079e1c53efa7a589e3b2ec9c8cc495202d,False
